is_day_off,day_off_in_row,day_off_in_future,day,month,year
1,1,2,20,8,11
1,2,1,21,8,11
0,0,0,22,8,11
0,0,0,23,8,11
0,0,0,24,8,11
0,0,0,25,8,11
0,0,0,26,8,11
1,1,2,27,8,11
1,2,1,28,8,11
0,0,0,29,8,11
0,0,0,30,8,11
0,0,0,31,8,11
0,0,0,1,9,11
0,0,0,2,9,11
1,1,2,3,9,11
1,2,1,4,9,11
0,0,0,5,9,11
0,0,0,6,9,11
0,0,0,7,9,11
0,0,0,8,9,11
0,0,0,9,9,11
1,1,2,10,9,11
1,2,1,11,9,11
0,0,0,12,9,11
0,0,0,13,9,11
0,0,0,14,9,11
0,0,0,15,9,11
0,0,0,16,9,11
1,1,2,17,9,11
1,2,1,18,9,11
0,0,0,19,9,11
0,0,0,20,9,11
0,0,0,21,9,11
0,0,0,22,9,11
0,0,0,23,9,11
1,1,2,24,9,11
1,2,1,25,9,11
0,0,0,26,9,11
0,0,0,27,9,11
0,0,0,28,9,11
0,0,0,29,9,11
0,0,0,30,9,11
1,1,2,1,10,11
1,2,1,2,10,11
0,0,0,3,10,11
0,0,0,4,10,11
0,0,0,5,10,11
0,0,0,6,10,11
0,0,0,7,10,11
1,1,2,8,10,11
1,2,1,9,10,11
0,0,0,10,10,11
0,0,0,11,10,11
0,0,0,12,10,11
0,0,0,13,10,11
0,0,0,14,10,11
1,1,2,15,10,11
1,2,1,16,10,11
0,0,0,17,10,11
0,0,0,18,10,11
0,0,0,19,10,11
0,0,0,20,10,11
0,0,0,21,10,11
1,1,2,22,10,11
1,2,1,23,10,11
0,0,0,24,10,11
0,0,0,25,10,11
0,0,0,26,10,11
0,0,0,27,10,11
0,0,0,28,10,11
1,1,2,29,10,11
1,2,1,30,10,11
0,0,0,31,10,11
0,0,0,1,11,11
0,0,0,2,11,11
0,0,0,3,11,11
0,0,0,4,11,11
1,1,3,5,11,11
1,2,2,6,11,11
1,3,1,7,11,11
0,0,0,8,11,11
0,0,0,9,11,11
0,0,0,10,11,11
0,0,0,11,11,11
1,1,2,12,11,11
1,2,1,13,11,11
0,0,0,14,11,11
0,0,0,15,11,11
0,0,0,16,11,11
0,0,0,17,11,11
0,0,0,18,11,11
1,1,2,19,11,11
1,2,1,20,11,11
0,0,0,21,11,11
0,0,0,22,11,11
0,0,0,23,11,11
0,0,0,24,11,11
0,0,0,25,11,11
1,1,2,26,11,11
1,2,1,27,11,11
0,0,0,28,11,11
0,0,0,29,11,11
0,0,0,30,11,11
0,0,0,1,12,11
0,0,0,2,12,11
1,1,2,3,12,11
1,2,1,4,12,11
0,0,0,5,12,11
0,0,0,6,12,11
0,0,0,7,12,11
0,0,0,8,12,11
0,0,0,9,12,11
1,1,2,10,12,11
1,2,1,11,12,11
0,0,0,12,12,11
0,0,0,13,12,11
0,0,0,14,12,11
0,0,0,15,12,11
0,0,0,16,12,11
1,1,2,17,12,11
1,2,1,18,12,11
0,0,0,19,12,11
0,0,0,20,12,11
0,0,0,21,12,11
0,0,0,22,12,11
0,0,0,23,12,11
1,1,2,24,12,11
1,2,1,25,12,11
0,0,0,26,12,11
0,0,0,27,12,11
0,0,0,28,12,11
0,0,0,29,12,11
0,0,0,30,12,11
1,1,2,31,12,11
1,2,1,1,1,12
0,0,0,2,1,12
0,0,0,3,1,12
0,0,0,4,1,12
0,0,0,5,1,12
0,0,0,6,1,12
1,1,2,7,1,12
1,2,1,8,1,12
0,0,0,9,1,12
0,0,0,10,1,12
0,0,0,11,1,12
0,0,0,12,1,12
0,0,0,13,1,12
1,1,2,14,1,12
1,2,1,15,1,12
0,0,0,16,1,12
0,0,0,17,1,12
0,0,0,18,1,12
0,0,0,19,1,12
0,0,0,20,1,12
1,1,2,21,1,12
1,2,1,22,1,12
0,0,0,23,1,12
0,0,0,24,1,12
0,0,0,25,1,12
0,0,0,26,1,12
0,0,0,27,1,12
1,1,2,28,1,12
1,2,1,29,1,12
0,0,0,30,1,12
0,0,0,31,1,12
0,0,0,1,2,12
0,0,0,2,2,12
0,0,0,3,2,12
1,1,2,4,2,12
1,2,1,5,2,12
0,0,0,6,2,12
0,0,0,7,2,12
0,0,0,8,2,12
0,0,0,9,2,12
0,0,0,10,2,12
1,1,2,11,2,12
1,2,1,12,2,12
0,0,0,13,2,12
0,0,0,14,2,12
0,0,0,15,2,12
0,0,0,16,2,12
0,0,0,17,2,12
1,1,2,18,2,12
1,2,1,19,2,12
0,0,0,20,2,12
0,0,0,21,2,12
0,0,0,22,2,12
0,0,0,23,2,12
0,0,0,24,2,12
1,1,2,25,2,12
1,2,1,26,2,12
0,0,0,27,2,12
0,0,0,28,2,12
0,0,0,29,2,12
0,0,0,1,3,12
0,0,0,2,3,12
1,1,2,3,3,12
1,2,1,4,3,12
0,0,0,5,3,12
0,0,0,6,3,12
0,0,0,7,3,12
1,1,1,8,3,12
0,0,0,9,3,12
1,1,2,10,3,12
1,2,1,11,3,12
0,0,0,12,3,12
0,0,0,13,3,12
0,0,0,14,3,12
0,0,0,15,3,12
0,0,0,16,3,12
1,1,2,17,3,12
1,2,1,18,3,12
0,0,0,19,3,12
0,0,0,20,3,12
0,0,0,21,3,12
0,0,0,22,3,12
0,0,0,23,3,12
1,1,2,24,3,12
1,2,1,25,3,12
0,0,0,26,3,12
0,0,0,27,3,12
0,0,0,28,3,12
0,0,0,29,3,12
0,0,0,30,3,12
1,1,2,31,3,12
1,2,1,1,4,12
0,0,0,2,4,12
